title,type,description,release_year,runtime,genres,production_countries,tmdb_popularity,Actors
Vikruthi,MOVIE,"Mistaking the sleeping passenger on his train for a drunk, a young man posts a picture of him online, unaware of his impulsive act's ugly repercussions.",2019,123,'drama';'comedy','IN',2.141,Suraj Venjaramoodu;Soubin Shahir;Surabhi Lakshmi;Vincy Aloshious;Mamukkoya;Jaffer Idukki;Irshad Ali;Baburaj;Sudhi Koppa;Bhagath Manuel;Sudheer Karamana;Balu Varghese;Mareena Michael;Shivaji Guruvayoor;Gracy Soudi;Riya Saira;Meghanathan;Mamitha Baiju;Emcy Joseph
Nasha Natasha,MOVIE,"Natalia Oreiro's story is absolutely unique. She is the only performer from Rio de la Plata and one of the very few Latin American performers who, despite language and cultural barriers, has become a popular symbol in such different countries as Czech Republic, Poland, Russia and Israel, This film is an attempt to uncover the phenomenon.",2020,83,'documentation';'music','UY',2.051,Natalia Oreiro;Facundo Arana;Ricardo Mollo;Valeria Lorca;Merlín Atahualpa Mollo Oreiro;Martín Sastre
Manmadhudu 2,MOVIE,"Under pressure to marry, a perennial bachelor hires a much younger woman to act as his fiancée, but her bond with his family throws his plan for a loop.",2019,155,'comedy';'romance';'drama','IN',2.4,Nagarjuna Akkineni;Rakul Preet Singh;Vennela Kishore;Rao Ramesh;Lakshmi;Devadarshini;Jhansi;Rohini;Nishanthi Evani;Samantha Ruth Prabhu;Keerthy Suresh;Akshara Gowda;Brahmanandam;Sudhanshu Pandey;Rahul Ravindran
Cops and Robbers,MOVIE,Animation and activism unite in this multimedia spoken-word response to police brutality and racial injustice.,2020,8,'animation','US',4.414,Timothy Ware-Hill;Timothy Ware-Hill;Arnon Manor
Just Another Christmas,MOVIE,"After taking a very nasty fall on Christmas Eve, grinchy Jorge blacks out and wakes up one year later, with no memory of the year that has passed. He soon realizes that he’s doomed to keep waking up on Christmas Eve after Christmas Eve, having to deal with the aftermath of what his other self has done the other 364 days of the year.",2020,101,'comedy';'drama','BR',7.195,Leandro Hassum;Elisa Pinheiro;Arianne Botelho;Miguel Rômulo;Louise Cardoso;Levi Ferreira;Danielle Winits;Rodrigo Fagundes;José Rubens Chachá;Giselle Lopes;Daniel Filho;Roberto Santucci
Legend Quest: Masters of Myth,SHOW,"When mythical creatures come to life, it's up to Leo Teodora, Don Andrés and Alebrije -- super-secret monster hunters -- to save the day",2019,25,'animation';'action','MX',5.398,Annemarie Blanco;Oscar Cheda;Chuck Morgan;Johnny Rose;Paul Tei;Charlotte Cunningham
Miss India,MOVIE,"Uprooted to America, an aspiring Indian entrepreneur confronts disapproval, sexism and rivalry as she draws from her culture to start a tea business.",2020,136,'drama','IN',4.163,Keerthy Suresh;Jagapati Babu;Rajendra Prasad;Nadhiya;Naveen Chandra;Kamal Kamaraju;Pujita Ponnada;Sohail Sameer;Naresh;Sameer Hasan;Bhanu Sri Mehra;Divya Drishti;Narendra Nath
The App,MOVIE,"Loving girlfriend, family fortune, breakout movie role: he's got it all. Until an app awakens a powerful new yearning. While in Rome to shoot his first movie, actor and industrial heir Niccolò becomes obsessed with the dating app ""US"" that sends him into a self-destructive spiral.",2019,79,'drama';'scifi';'thriller','IT',7.473,Vincenzo Crea;Jessica Cressy;Greta Scarano;Maya Sansa;Abel Ferrara;Anita Kravos;Salvatore Costa;Maurizio Di Carmine;Andrea Giannini;Franco Idone;Giampiero Judica;Stella Mastrantonio;Romeo Pellegrini;Beatrice Puccilli;Daniele Saladini;Elisa Fuksas
Once Upon A Time,SHOW,"'And So It Happened' is a series that deals with the different problems women have been facing in Egypt, especially in the Southern parts, between the years 1918 and 2018, showing the difference in ideas and traditions.",2019,39,'drama','EG',0.884,Hatem Ali;Mohamed Maghraby;Ibrahim Farah;Esam Tawfiq;Abeer Farouq;Galal Al-Ashry;Mohamed Khamis;Osama Abdullah;Amira El Aidy;Arefa Abdul Rasoul;Mohsen Mansour;Hazem Ehab;Mohamed Talaat;Ahmed Abdel Hamid;Ruby;Ahmed Dawood;Mohamed Farag;Arwa Gouda;Sawsan Badr;Hesham Ismail;Ali Al Tayeb;Mahmoud Al-Bezzawy;Heba Abdelghany;Tayam Qamar;Mohamed Hatem;Azouz Adel;Hatem Ali
Dance Dreams: Hot Chocolate Nutcracker,MOVIE,"This documentary spotlights Debbie Allen's career and follows her group of dance students as they prepare for Allen's annual ""Hot Chocolate Nutcracker,"" a reimagining of the classic ballet.",2020,80,'documentation';'family','US',4.109,Debbie Allen;Chris Scott;Chantel Heath;Oliver Bokelberg
